strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
~NUKO_s_1-present,,,,0.0,0,2.59,0.0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NUKO_s_1,,0.0,88.5,1.0,88.5,3.295,2.59,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,58.73512181959174,88.5,0.0,0.0,88.5,,,
NUKO,,88.5,177.0,1.0,88.5,4.0,3.295,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,59.885821009135825,90.21647172750082,0.0,88.5,177.0,,,
NUOT_s_1,,177.0,246.0,1.0,69.0,4.665,4.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,47.46029892404381,71.64723859416941,0.0,177.0,246.0,,,
NUOT,,246.0,315.0,1.0,69.0,5.33,4.665,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.34299999999999997,0.00044550000000000004,3.4000000000000004,900.0,1.2500000000000003e-06,48.112345430144835,72.62357891285387,0.0,246.0,315.0,,,
~NUBA_s_4-NUOT,,,,0.0,0,7.25,5.33,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NUBA_s_4,,315.0,404.0,1.0,89.0,9.32,7.25,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,61.147963644860994,96.32726330210582,0.0,315.0,404.0,,,
NUBA_s_3,,404.0,493.0,1.0,89.0,11.39,9.32,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,62.35072135870382,98.19601889429111,0.0,404.0,493.0,,,
NUBA_s_2,,493.0,582.0,1.0,89.0,13.46,11.39,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,63.50153938311932,99.98317763311401,0.0,493.0,582.0,,,
NUBA_s_1,,582.0,671.0,1.0,89.0,15.530000000000001,13.46,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,64.60266067303226,101.69234090156121,0.0,582.0,671.0,,,
NUBA,,671.0,760.0,1.0,89.0,17.6,15.530000000000001,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.37399999999999994,0.000496,3.3,900.0,1.25e-06,65.6562313239745,103.32694774768055,0.0,671.0,760.0,,,
NMVF_s_1,,760.0,814.0,1.0,54.0,23.0,17.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.42,0.000395,3.5,900.0,1.25e-06,37.37949064906255,63.86885716569443,0.0,760.0,814.0,,,
NMVF,,814.0,868.0,1.0,54.0,28.4,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.42,0.000395,3.5,900.0,1.25e-06,37.73025194560102,64.46285217018143,0.0,814.0,868.0,,,
NMRF,,868.0,966.0,1.0,98.0,37.2,28.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,71.80168041204843,165.70160041498949,0.0,868.0,966.0,,,
~NLFF-NMRF,,,,0.0,0,40.0,37.2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NLFF,,966.0,1029.0,1.0,63.0,55.8,40.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.548,0.000799,2.7,900.0,1.2500000000000003e-06,47.439155241110555,100.21526468269444,0.0,966.0,1029.0,,,
~NLLFC-NLFF,,,,0.0,0,57.8,55.8,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
NLLFC,,1029.0,1107.0,1.0,78.0,58.0,57.8,0.0,0.1,0.1,0.6,0.0,0.0,0.2,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.536,0.0007770000000000001,2.8400000000000003,900.0,1.2500000000000003e-06,59.76387076020291,122.29589164912369,0.0,1029.0,1107.0,,,
NLLFG,,1107.0,1118.5,1.0,11.5,58.4,58.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.526,0.000823,2.9899999999999998,900.0,1.2499999999999999e-06,9.07918695806211,18.990183459214386,0.0,1107.0,1118.5,,,
NLLFS,,1118.5,1128.0,1.0,9.5,58.8,58.4,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.393,0.0005465,3.1999999999999997,900.0,1.2499999999999999e-06,7.479204734781826,12.294903795100737,0.0,1118.5,1128.0,,,
~CKHM-NLLFS,,,,0.0,0,61.7,58.8,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
CKHM,,1128.0,1155.0,1.0,27.0,65.5,61.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.49,0.00079,3.2,900.0,1.25e-06,21.630574416585688,41.758129954595574,0.0,1128.0,1155.0,,,
CKGR,,1155.0,1183.0,1.0,28.0,70.0,65.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.49,0.00079,3.2,900.0,1.25e-06,22.55136559449104,43.50791740801853,0.0,1155.0,1183.0,,,
~-ATBR_a_0-CKGR,,,,0.0,0,71.0,70.0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
-ATBR_a_0,,,,-1.0,0.0,72.75034666666667,71.0,,,,,,,,,,,,,,,,,,,,,,,88.69999999999997,,,,,
-ATBR_a_1,,,,-1.0,0.0,74.50069333333333,72.75034666666666,,,,,,,,,,,,,,,,,,,,,,,88.69999999999997,0.0,,0.0,,
-ATBR_a_2,,,,-1.0,0.0,76.25104,74.50069333333333,,,,,,,,,,,,,,,,,,,,,,,88.69999999999997,0.0,,0.0,,
-SLDNA_a_0,,,,-1.0,0.0,78.160832,76.25104,,,,,,,,,,,,,,,,,,,,,,,96.78000000000002,0.0,,0.0,,
-SLDNA_a_1,,,,-1.0,0.0,80.070624,78.160832,,,,,,,,,,,,,,,,,,,,,,,96.78000000000002,0.0,,0.0,,
-SLDNA_a_2,,,,-1.0,0.0,81.98041599999999,80.070624,,,,,,,,,,,,,,,,,,,,,,,96.78000000000002,0.0,,0.0,,
-SLDNA_a_3,,,,-1.0,0.0,83.890208,81.980416,,,,,,,,,,,,,,,,,,,,,,,96.78000000000002,0.0,,0.0,,
-SLDNA_a_4,,,,-1.0,0.0,85.8,83.890208,,,,,,,,,,,,,,,,,,,,,,,96.78000000000002,0.0,,0.0,,
~+SLDNA_a_4--SLDNA_a_4,,,,0.0,0,133.9,85.8,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
+SLDNA_a_4,,,,1.0,0.0,138.52,133.9,0.0,0.39,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.01,430.0,428.0,300.0,1.0,2650.0,0.4265,0.00054255,3.175,900.0,1.25e-06,56.56828661657027,0.0,96.78000000000002,0.0,96.78000000000002,0.0,96.78000000000002,96.78000000000002
+SLDNA_a_3,,,,1.0,0.0,143.14000000000001,138.52,0.0,0.39,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.01,430.0,428.0,300.0,1.0,2650.0,0.4265,0.00054255,3.175,900.0,1.25e-06,58.6252468186161,0.0,96.78000000000002,96.78000000000002,193.56000000000003,96.78000000000002,193.56000000000003,96.78000000000002
+SLDNA_a_2,,,,1.0,0.0,147.76,143.14,0.0,0.39,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.01,430.0,428.0,300.0,1.0,2650.0,0.4265,0.00054255,3.175,900.0,1.25e-06,60.57698680205395,0.0,96.78000000000002,193.56000000000003,290.34000000000003,193.56000000000003,290.34000000000003,96.78000000000002
+SLDNA_a_1,,,,1.0,0.0,152.38,147.76,0.0,0.39,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.01,430.0,428.0,300.0,1.0,2650.0,0.4265,0.00054255,3.175,900.0,1.25e-06,62.42888892401145,0.0,96.78000000000002,290.34000000000003,387.12000000000006,290.34000000000003,387.12000000000006,96.78000000000002
+SLDNA_a_0,,,,1.0,0.0,157.0,152.38,0.0,0.39,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.01,430.0,428.0,300.0,1.0,2650.0,0.4265,0.00054255,3.175,900.0,1.25e-06,64.18606021650542,0.0,96.78000000000002,387.12000000000006,483.9000000000001,387.12000000000006,483.9000000000001,96.78000000000002
+ATBR_a_2,,,,1.0,0.0,158.89818,157.0,0.0,0.1,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.4759999999999999,0.0007220000000000001,3.19,900.0,1.25e-06,59.86191682017825,0.0,88.69999999999997,483.9000000000001,572.6,483.9000000000001,572.6,88.69999999999997
