well,depth,VR,VR_min,VR_max,VR_unc_1sigma,simulated_vr,residual,vr_SE_plus,vr_SE_min,residual_norm,P_fit
KDK-01,717.0,0.3199999928,,,0.1,0.2543857983103459,0.06561419448965411,,,0.6561419448965411,0.5117327984485489
KDK-01,994.0,0.3300000131,,,0.1,0.2706355412793924,0.05936447182060761,,,0.5936447182060761,0.5527497649715611
KDK-01,1261.0,0.349999994,,,0.1,0.3044134363890566,0.04558655761094338,,,0.4558655761094338,0.6484866449621858
KDK-01,1387.0,0.4099999964,,,0.1,0.3191821674805401,0.09081782891945989,,,0.9081782891945989,0.363784032728554
KDK-01,1436.0,0.4900000095,,,0.1,0.32869935652120424,0.16130065297879576,,,1.6130065297879574,0.10674308915640762
KDK-01,1486.0,0.5299999714,,,0.1,0.33575813369038593,0.19424183770961406,,,1.9424183770961405,0.05208647235644848
KDK-01,1576.0,0.4799999893,,,0.1,0.3474492714371311,0.13255071786286887,,,1.3255071786286887,0.18500299005630216
KDK-01,738.7399902344,0.3199999928,,,0.1,0.25539274998757344,0.06460724281242658,,,0.6460724281242658,0.518232450521122
KDK-01,1018.0,0.3300000131,,,0.1,0.27398177161062487,0.05601824148937512,,,0.5601824148937512,0.5753550203910174
KDK-01,1192.5899658203,0.5600000024,,,0.1,0.2977393968273247,0.26226060557267533,,,2.622606055726753,0.008726010452457356
KDK-01,1275.1700439453,0.349999994,,,0.1,0.30558608608767573,0.044413907912324246,,,0.44413907912324246,0.656942034147507
KDK-01,1414.4599609375,0.4099999964,,,0.1,0.32434768932561486,0.08565230707438515,,,0.8565230707438515,0.3917085172705388
KDK-01,1462.6600341797,0.4900000095,,,0.1,0.3329056491063461,0.15709436039365388,,,1.5709436039365388,0.11619574904732022
KDK-01,1509.3199462891,0.5299999714,,,0.1,0.3386838031514258,0.19131616824857417,,,1.9131616824857416,0.05572735720723343
KDK-01,1594.9599609375,0.4799999893,,,0.1,0.34982800346521764,0.13017198583478234,,,1.3017198583478233,0.19301216852466463
