model_scenario_number,model_run,model_error,well,computational_time,C0,C1,C2,C3,NcompactionIterations,ahe_method,alpha,annealing_equation,annealing_kinetic_param,annealing_kinetics_values,auto_calibrate_VR,binsize,calculate_thermochron_for_all_nodes,contour_variable,correct_exhumation_duration,csv_save_interval,datafile_output_dir,decay_constant_232Th,decay_constant_235U,decay_constant_238U,exhumation_duration_factor,exhumation_period_ends,exhumation_period_starts,exhumation_segment_factor,exhumed_strat_units,exhumed_thicknesses,fig_adj,gof_weights,heatflow_ages,heatflow_history,log_tT_paths,make_model_data_fig,max_decompaction_error,max_hf_timestep,max_thickness,original_thicknesses,output_dir,provenance_start_temp,provenance_time_nt,resample_timesteps,save_model_run_data,show_strat_column,show_thermochron_data,simulate_AFT,simulate_He,simulate_VR,simulate_salinity,two_stage_exhumation,use_caxis_correction,use_strat_map_input,vr_unc_sigma,wells,well,T_gof,vr_gof,aft_age_gof,aft_age_error,he_gof,he_error,mean_gof,resetting_depth_model_min,resetting_depth_model_max,resetting_depth_data_min,non-resetting_depth_data_max,max_temperature,max_present_temperature,max_depth,vr_surface,vr_bottom,aft_age_surface_min,aft_age_surface_max,aft_age_bottom_min,aft_age_bottom_max,full_resetting_depth_aft_model_min,full_resetting_depth_aft_model_max,full_resetting_T_aft_model_min,partial_resetting_depth_aft_model_min,partial_resetting_depth_aft_model_max,vr_rmse
0,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.054 0.054],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.0,0.3290990066827913,0.3325916542727677,352.52333365595643,,,,,,,,63.18456180544472,63.18456180544472,2205.195045020053,0.21133750464650086,0.4331815711069337,196.29296375126324,439.10830777786384,228.66220874852124,389.0630295212119,-99999.9,-99999.9,-99999.9,1907.7456823921268,-99999.9,0.13243861417039013
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
