model_scenario_number,model_run,model_error,well,computational_time,C0,C1,C2,C3,NcompactionIterations,ahe_method,alpha,annealing_equation,annealing_kinetic_param,annealing_kinetics_values,auto_calibrate_VR,binsize,calculate_thermochron_for_all_nodes,contour_variable,correct_exhumation_duration,csv_save_interval,datafile_output_dir,decay_constant_232Th,decay_constant_235U,decay_constant_238U,exhumation_duration_factor,exhumation_period_ends,exhumation_period_starts,exhumation_segment_factor,exhumed_strat_units,exhumed_thicknesses,fig_adj,gof_weights,heatflow_ages,heatflow_history,log_tT_paths,make_model_data_fig,max_decompaction_error,max_hf_timestep,max_thickness,original_thicknesses,output_dir,provenance_start_temp,provenance_time_nt,resample_timesteps,save_model_run_data,show_strat_column,show_thermochron_data,simulate_AFT,simulate_He,simulate_VR,simulate_salinity,two_stage_exhumation,use_caxis_correction,use_strat_map_input,vr_unc_sigma,wells,well,T_gof,vr_gof,aft_age_gof,aft_age_error,he_gof,he_error,mean_gof,resetting_depth_model_min,resetting_depth_model_max,resetting_depth_data_min,non-resetting_depth_data_max,max_temperature,max_present_temperature,max_depth,vr_surface,vr_bottom,aft_age_surface_min,aft_age_surface_max,aft_age_bottom_min,aft_age_bottom_max,full_resetting_depth_aft_model_min,full_resetting_depth_aft_model_max,full_resetting_T_aft_model_min,partial_resetting_depth_aft_model_min,partial_resetting_depth_aft_model_max,vr_rmse,start_exhumation_phase_0,end_exhumation_phase_0,mean_cooling_exhumation_phase_0,min_cooling_exhumation_phase_0,max_cooling_exhumation_phase_0,exhumed_thicknesses_0
0,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.054 0.054],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.0,0.3290990066827913,0.39166166288235155,235.10975593843136,,,,,,,,63.18456180544472,63.18456180544472,2205.195045020053,0.21133750464650086,0.4331815711069337,196.29296375126324,439.10830777786384,228.66220874852124,389.0630295212119,-99999.9,-99999.9,-99999.9,1907.7456823921268,-99999.9,0.13243861417039013,,,,,,0.0
1,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.056 0.056],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.0,0.3379525084784195,0.39308508715116824,234.0649298996077,,,,,,,,65.17011678946669,65.17011678946669,2205.195045020053,0.21133750464649798,0.44020299057141626,196.2929637512634,439.10830777786384,225.01133235854158,386.2971793127549,-99999.9,-99999.9,-99999.9,1874.9957037243144,-99999.9,0.13038797969694685,,,,,,0.0
2,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.058 0.058],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.16666666666666666,0.3474770332299563,0.395508870998605,232.96501893931924,,,,,,,,67.15567177347494,67.15567177347494,2205.195045020053,0.21133750464648896,0.4485146597802654,196.29296375126324,439.108307777864,221.13507206649243,383.45103249737036,-99999.9,-99999.9,-99999.9,1861.5957145416107,-99999.9,0.12833624002238722,,,,,,0.0
3,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.06 0.06],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.3333333333333333,0.3576990767966901,0.3984986986398314,231.8071479232861,,,,,,,,69.14122675749694,69.14122675749694,2205.195045020053,0.21133750464649725,0.45802749951452276,196.2929637512634,439.10830777786424,216.99521287865085,380.5221097929485,-99999.9,-99999.9,-99999.9,1821.9957063318889,-99999.9,0.1262716680007748,,,,,,0.0
4,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.062 0.062],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.3333333333333333,0.36863259641429225,0.4009362681679499,230.59166927810602,,,,,,,,71.12678174151277,71.12678174151277,2205.195045020053,0.21133750464648965,0.46841210643268893,196.29296375126333,439.10830777786396,213.92958340015323,377.5077975357124,-99999.9,-99999.9,-99999.9,1821.9957063318889,-99999.9,0.12417501687460504,,,,,,0.0
5,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.064 0.064],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.3333333333333333,0.3802859489529867,0.40455143448250624,229.31916627141337,,,,,,,,73.11233672553507,73.11233672553507,2205.195045020053,0.2113375046464961,0.47910878499794324,196.29296375126341,439.108307777864,205.54777990358303,374.4053433155271,-99999.9,-99999.9,-99999.9,1771.595698122167,-99999.9,0.12201931941475119,,,,,,0.0
6,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.066 0.066],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.3333333333333333,0.3926723032706303,0.4068212894065454,228.03440709421164,,,,,,,,75.097891709555,75.097891709555,2205.195045020053,0.21133750464649623,0.4894361253874531,196.29296375126327,439.108307777864,195.63291748358316,371.2118507168549,-99999.9,-99999.9,-99999.9,1749.0457722142385,-99999.9,0.11977098870089274,,,,,,0.0
7,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.068 0.068],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.3333333333333333,0.4058178978456158,0.4130711442658053,225.81079674475646,,,,,,,,77.08344669357733,77.08344669357733,2205.195045020053,0.21133750464650297,0.4988454900182243,196.29296375126344,439.10830777786384,184.19336047147084,367.92427311181694,-99999.9,-99999.9,-99999.9,1737.2958463063098,-99999.9,0.11739324561610076,,,,,,0.0
8,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.07 0.07],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.3333333333333333,0.419762872710008,0.4186871331387885,223.26717946275016,,,,,,,,79.06900167759052,79.06900167759052,2205.195045020053,0.211337504646491,0.5072368829672811,196.29296375126344,439.108307777864,171.24542370175502,364.53940644541996,-99999.9,-99999.9,-99999.9,1721.2458987241273,-99999.9,0.11485168334021846,,,,,,0.0
9,,,KDK-01,,0.39528,0.01073,-65.12969,-7.91715,5,Farley2000,0.04672,FC,Clwt,[0.0001 0.02  ],False,0.25,True,temperature,True,1,model_output/without_anomalies/thermal_history_datafiles,1.57e-18,3.12e-17,4.916e-18,0.5,[65.],[90.],0.5,[['ATBRM']],[0.],['png'],"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[  0. 300.],[0.072 0.072],True,True,0.01,10000.0,100.0,[[1200.0]],model_output/without_anomalies,120.0,100,10,True,False,True,True,False,True,False,False,False,False,0.1,['KDK-01'],KDK-01,0.3333333333333333,0.4345525768277837,0.4285198918230706,220.40419064705384,,,,,,,,81.05455666161112,81.05455666161112,2205.195045020053,0.21133750464649553,0.5151103136801237,196.29296375126333,439.1083077778642,156.8878649844226,361.05388094628876,-99999.9,-99999.9,-99999.9,1705.1959511419448,-99999.9,0.11212039191510087,,,,,,0.0
